3 2.5 2 1.5 1 1.5 2 2.5 3 4.25 5.5 6.75 8 7.25 6.5 5.75 5 5.25 5.5 5.75 6 6.25 6.5 6.75 7 5.5 4 2.5 1 1 1 1 1
2.5 2.1875 1.875 1.5625 1.25 1.9375 2.625 3.3125 4 4.875 5.75 6.625 7.5 6.875 6.25 5.625 5 5.25 5.5 5.75 6 6.0625 6.125 6.1875 6.25 5.25 4.25 3.25 2.25 2.4375 2.625 2.8125 3
2 1.875 1.75 1.625 1.5 2.375 3.25 4.125 5 5.5 6 6.5 7 6.5 6 5.5 5 5.25 5.5 5.75 6 5.875 5.75 5.625 5.5 5 4.5 4 3.5 3.875 4.25 4.625 5
1.5 1.5625 1.625 1.6875 1.75 2.8125 3.875 4.9375 6 6.125 6.25 6.375 6.5 6.125 5.75 5.375 5 5.25 5.5 5.75 6 5.6875 5.375 5.0625 4.75 4.75 4.75 4.75 4.75 5.3125 5.875 6.4375 7
1 1.25 1.5 1.75 2 3.25 4.5 5.75 7 6.75 6.5 6.25 6 5.75 5.5 5.25 5 5.25 5.5 5.75 6 5.5 5 4.5 4 4.5 5 5.5 6 6.75 7.5 8.25 9
1.25 1.5625 1.875 2.1875 2.5 3.25 4 4.75 5.5 5.5 5.5 5.5 5.5 5.375 5.25 5.125 5 4.9375 4.875 4.8125 4.75 4.75 4.75 4.75 4.75 5.1875 5.625 6.0625 6.5 6.8125 7.125 7.4375 7.75
1.5 1.875 2.25 2.625 3 3.25 3.5 3.75 4 4.25 4.5 4.75 5 5 5 5 5 4.625 4.25 3.875 3.5 4 4.5 5 5.5 5.875 6.25 6.625 7 6.875 6.75 6.625 6.5
1.75 2.1875 2.625 3.0625 3.5 3.25 3 2.75 2.5 3 3.5 4 4.5 4.625 4.75 4.875 5 4.3125 3.625 2.9375 2.25 3.25 4.25 5.25 6.25 6.5625 6.875 7.1875 7.5 6.9375 6.375 5.8125 5.25
2 2.5 3 3.5 4 3.25 2.5 1.75 1 1.75 2.5 3.25 4 4.25 4.5 4.75 5 4 3 2 1 2.5 4 5.5 7 7.25 7.5 7.75 8 7 6 5 4
2.75 3.0625 3.375 3.6875 4 3.375 2.75 2.125 1.5 2.125 2.75 3.375 4 4.25 4.5 4.75 5 4.3125 3.625 2.9375 2.25 3.0625 3.875 4.6875 5.5 5.6875 5.875 6.0625 6.25 6 5.75 5.5 5.25
3.5 3.625 3.75 3.875 4 3.5 3 2.5 2 2.5 3 3.5 4 4.25 4.5 4.75 5 4.625 4.25 3.875 3.5 3.625 3.75 3.875 4 4.125 4.25 4.375 4.5 5 5.5 6 6.5
4.25 4.1875 4.125 4.0625 4 3.625 3.25 2.875 2.5 2.875 3.25 3.625 4 4.25 4.5 4.75 5 4.9375 4.875 4.8125 4.75 4.1875 3.625 3.0625 2.5 2.5625 2.625 2.6875 2.75 4 5.25 6.5 7.75
5 4.75 4.5 4.25 4 3.75 3.5 3.25 3 3.25 3.5 3.75 4 4.25 4.5 4.75 5 5.25 5.5 5.75 6 4.75 3.5 2.25 1 1 1 1 1 3 5 7 9
4.75 4.4375 4.125 3.8125 3.5 3.5625 3.625 3.6875 3.75 3.8125 3.875 3.9375 4 4.25 4.5 4.75 5 4.9375 4.875 4.8125 4.75 4.1875 3.625 3.0625 2.5 2.5625 2.625 2.6875 2.75 4.3125 5.875 7.4375 9
4.5 4.125 3.75 3.375 3 3.375 3.75 4.125 4.5 4.375 4.25 4.125 4 4.25 4.5 4.75 5 4.625 4.25 3.875 3.5 3.625 3.75 3.875 4 4.125 4.25 4.375 4.5 5.625 6.75 7.875 9
4.25 3.8125 3.375 2.9375 2.5 3.1875 3.875 4.5625 5.25 4.9375 4.625 4.3125 4 4.25 4.5 4.75 5 4.3125 3.625 2.9375 2.25 3.0625 3.875 4.6875 5.5 5.6875 5.875 6.0625 6.25 6.9375 7.625 8.3125 9
4 3.5 3 2.5 2 3 4 5 6 5.5 5 4.5 4 4.25 4.5 4.75 5 4 3 2 1 2.5 4 5.5 7 7.25 7.5 7.75 8 8.25 8.5 8.75 9
4 3.8125 3.625 3.4375 3.25 3.75 4.25 4.75 5.25 4.9375 4.625 4.3125 4 4.0625 4.125 4.1875 4.25 3.75 3.25 2.75 2.25 3.3125 4.375 5.4375 6.5 6.75 7 7.25 7.5 7.75 8 8.25 8.5
4 4.125 4.25 4.375 4.5 4.5 4.5 4.5 4.5 4.375 4.25 4.125 4 3.875 3.75 3.625 3.5 3.5 3.5 3.5 3.5 4.125 4.75 5.375 6 6.25 6.5 6.75 7 7.25 7.5 7.75 8
4 4.4375 4.875 5.3125 5.75 5.25 4.75 4.25 3.75 3.8125 3.875 3.9375 4 3.6875 3.375 3.0625 2.75 3.25 3.75 4.25 4.75 4.9375 5.125 5.3125 5.5 5.75 6 6.25 6.5 6.75 7 7.25 7.5
4 4.75 5.5 6.25 7 6 5 4 3 3.25 3.5 3.75 4 3.5 3 2.5 2 3 4 5 6 5.75 5.5 5.25 5 5.25 5.5 5.75 6 6.25 6.5 6.75 7
3.25 3.875 4.5 5.125 5.75 5.0625 4.375 3.6875 3 3.25 3.5 3.75 4 3.6875 3.375 3.0625 2.75 3.5625 4.375 5.1875 6 5.875 5.75 5.625 5.5 5.75 6 6.25 6.5 6.25 6 5.75 5.5
