3 2.33945 1.74312 1.27523 1 0.979931 1.27064 1.92603 3 4.4752 6.04931 7.34877 8 7.75989 6.9071 5.85077 5 4.67275 4.82228 5.31067 6 6.7366 7.30378 7.46906 7 5.77146 4.08761 2.35995 1 0.318198 0.220798 0.512999 1 
3 2 1 1 1 0 2 2 4 5 6 7 8 7 6 5 5 4 4 5 6 6 7 6 6 4 4 2 2 1 2 2 4 
3 2 1 1 1 0 3 3 5 6 6 7 8 7 6 5 5 4 4 5 6 6 7 5 5 3 4 2 3 2 4 4 7 
3 2 1 1 1 0 4 4 6 7 6 7 8 7 6 5 5 4 4 5 6 6 7 4 4 2 4 2 4 3 6 6 10 
1 0.901544 0.942471 1.26216 2 3.21849 4.67259 6.0404 7 7.31826 7.11718 6.6075 6 5.47721 5.10871 4.93585 5 5.30416 5.69799 5.99283 6 5.60304 4.97432 4.35844 4 4.08058 4.52973 5.21402 6 6.77779 7.53176 8.26985 9 
1 0 0 1 2 3 4 6 7 7 7 6 6 5 5 4 5 5 5 4 5 5 4 4 4 4 5 6 7 7 7 8 9 
1 0 0 1 2 3 4 6 7 7 7 6 6 5 5 4 5 5 5 3 4 5 4 4 4 4 6 7 8 8 7 8 9 
1 0 0 1 2 3 4 6 7 7 7 6 6 5 5 4 5 5 5 2 3 5 4 4 4 4 7 8 9 9 7 8 9 
2 2.91438 3.66302 4.08014 4 3.34447 2.38595 1.48446 1 1.19209 1.91817 2.93516 4 4.88716 5.44137 5.52489 5 3.83739 2.44137 1.32466 1 1.81016 3.41817 5.31709 7 8.06258 8.51095 8.45385 8 7.25201 6.28802 5.18001 4 
2 2 3 4 4 3 2 1 1 1 1 2 4 4 5 5 5 3 2 1 1 1 3 5 7 8 6 7 7 6 6 5 4 
2 2 3 4 4 3 2 1 1 1 1 2 4 4 5 5 5 3 2 1 1 1 3 5 7 8 2 6 6 5 6 5 4 
2 2 3 4 4 3 2 1 1 1 1 2 4 4 5 5 5 3 2 1 1 1 3 5 7 8 -4 5 5 4 6 5 4 
5 4.78586 4.55737 4.3002 4 3.65678 3.32789 3.08507 3 3.11829 3.38105 3.70329 4 4.21382 4.3979 4.63303 5 5.52644 6.02736 6.2646 6 5.08666 3.74266 2.27733 1 0.173794 0 0.141709 1 2.45254 4.37433 6.60896 9 
